,0
0,Arkansas
1,Connecticut
2,Illinois
3,Kansas
4,Massachusetts
5,Minnesota
6,Missouri
7,New Jersey
8,Ohio
9,Oklahoma
10,Pennsylvania
11,Rhode Island
